,Outside,Agriculture,Greenhouses,Mineral/Industry,Public Amenities,Commercial,Residential (L),Residential (M),Residential (H),Recreation,Nature,Water,Transport,Airport,q,max_d
48,-0.10347378251044466,0.0004340774793185929,-1.0604807473813815,-0.9625735020593764,-0.03385826726096737,-0.07675598136972352,-0.04239271293990473,-0.3142582613977364,0.0,0.33122478102073244,0.04844180355040453,-0.208309350979882,-0.03763066432997889,0.0,6.0,3.0
49,-0.3448615651886179,-0.4400933749638875,0.06069784035361165,-0.5331323796458906,0.24526583945746125,0.006466042249231681,0.723044991643445,-0.027797161620935564,-0.8068754016455384,0.21112054125804933,-0.5214335044061567,-0.3205721033878811,0.04571405894086761,-1.7212463990471711,7.0,3.0
50,-0.25103713874383854,-0.7258421507363202,-0.5243288116755703,-0.1972262747080243,0.33243845991560533,0.20709554041921804,0.6295115342004532,0.7487305560984945,0.47348697006456836,0.2469906992415498,-0.8827287043442357,-0.2740883677049518,0.11226976841727061,0.0,8.0,3.0
51,-0.26760624017703144,-0.17263072694617473,-0.2596373105057561,0.5242662687669788,0.15320490008428433,0.2739267801005256,0.05766610390982921,0.1705550585212085,0.07736790528415652,0.42439155441027754,-0.12493873660829995,-0.24184537803261005,0.17695898058690812,0.0,9.0,3.0
52,0.1804126328383238,-0.05551732784983137,-0.5016894462103995,0.07918124604762482,-0.18842499412940666,-0.05502409158795209,-0.8386319977650252,-0.7033348097384688,-1.0222763947111522,-0.15552282425431863,0.3344537511509309,0.03702787975577494,0.10856502373283448,-0.8996294548824371,10.0,3.0
53,0.10788802518279862,-0.08249449044745336,-0.4067139329795427,-0.04817696468408802,-0.47108329972234525,0.17782497186468177,-0.3334820194451191,-0.24872089601665776,-0.013676222949234686,-0.2218487496163564,0.24551266781414982,0.16908635748702275,-0.17979854051435976,-0.41005039867429227,11.0,3.0
54,-0.19246497193114673,-0.017276612331454656,-0.8153085691824012,0.30037806487070257,0.09061070782840665,0.3051363189436393,-0.09258863922541381,0.07591176148277752,0.20167017964658152,0.08600370561838196,-0.22694530663573742,-0.13135556160517428,0.2739267801005256,0.05690485133647256,12.0,3.0
55,-1.2365720064370627,0.16613397030510912,0.0,0.5572665288699041,0.10720996964786837,0.06258198422816312,-1.5228787452803376,0.0,0.0,-0.7328282715969862,-1.00436480540245,-0.7986028756795485,0.14705767102835993,1.6895130804880814,13.0,3.0
56,-0.6363880201078557,0.15745676813422568,0.0,0.0,-0.5867002359187482,0.1758016328482795,-1.3010299956639813,0.23070431361256905,0.0,0.11727129565576427,-0.14813039927023372,-0.5934598195660449,-0.15739076038943792,0.0,0.0,4.0
57,-0.2958494831602009,0.10720996964786837,0.819872821950546,-0.0030507515046188267,-0.07831352451639793,-0.0501222959631252,-0.3124710387853657,-0.22475374025976358,-1.0861861476162833,-0.21253952548158497,-0.1408617027054692,-0.1290111862394247,0.1248301494138592,0.5638369186645449,1.0,4.0
58,-0.22329881601158919,0.09412159584056139,1.515992993534467,-1.00436480540245,-1.1023729087095586,-0.39040559077478,-0.518557371497695,-1.0268721464003014,-0.6216020990518624,-0.5867002359187482,-0.08724669632867703,-0.4621809049267259,0.023663918197793475,0.0,2.0,4.0
59,-0.40120949323688493,-0.5466816599529624,-0.7931741239681502,1.4128132159638698,0.03622954408629453,0.2415464805965484,-0.3595185630295782,-0.5767541260631921,0.0,-0.1719849357760231,0.03019478535675124,0.4837298990000237,0.32817566143832255,0.0,3.0,4.0
60,-0.27002571430044436,-0.22548303427145044,-0.4329736338409396,-0.030118356253500032,0.5458017571592761,0.4112829130173842,0.21879799811173756,0.28375338333252653,-0.04527520902093701,0.13225968953104458,-0.25258819211357664,-0.12033079436794646,0.21298618473666817,-0.3106911408763798,4.0,4.0
61,-0.1817741063860445,-0.009217308196862183,0.27300127206373764,0.645520514905874,0.01619735351243906,0.2579184503140584,-0.09854167860388763,-0.015022873584506671,-0.05060999335508721,-0.022733787572707352,-0.2984320149440726,0.07261747654523654,0.16136800223497488,-0.03385826726096737,5.0,4.0
62,0.017450729510536125,-0.026872146400301365,-1.0604807473813815,-0.30016227413275426,0.027757204690553483,-0.21253952548158497,-0.07468790850035051,-0.41680122603137726,-1.0757207139381184,0.37143731740410085,0.11327469246435044,-0.20273245916928356,-0.09636748391576232,0.0,6.0,4.0
63,-0.31605286924848786,-0.38615817812393083,0.10277661488344131,-0.5171264163912462,0.2612628687924935,0.03822263836871846,0.672467313068082,-0.004803708402820599,-0.744727494896694,0.23502315949522348,-0.42365864979420714,-0.28819277095880896,0.06595298031386965,-1.3872161432802645,7.0,4.0
64,-0.22621355501880647,-0.6516951369518393,-0.46852108295774486,-0.10182351650232342,0.3592661646067485,0.2268575702887235,0.594613509160098,0.6824158616773585,0.5392015992941277,0.2875778090787054,-0.7644715530924511,-0.25103713874383854,0.12872228433842678,0.0,8.0,4.0
65,-0.28232949699773785,-0.18111458540599013,-0.17327747983100789,0.40925665203890965,0.1248301494138592,0.269746373130767,0.09760432887441088,0.2081725266671217,0.19865708695442263,0.4184670209466005,-0.12147820449879346,-0.208309350979882,0.13861843389949247,-1.6197887582883939,9.0,4.0
66,0.19865708695442263,-0.0695604052332999,-0.39147396642280585,0.1917303933628563,-0.13430394008392949,-0.024568191490737076,-0.7878123955960422,-0.6108339156354675,-0.7721132953863264,-0.11975822410451964,0.3283796034387377,0.03261876085071993,0.09551804232315081,-0.9244530386074693,10.0,4.0
67,0.10924096858820327,-0.09420411963213146,-0.31515463835558755,-0.06348625752110672,-0.5016894462103995,0.1863912156954932,-0.3089185078770315,-0.2564902352715702,-0.11975822410451964,-0.16241156176448873,0.2382970678753939,0.18069920129603473,-0.19449914184159983,-0.2502636844309389,11.0,4.0
68,-0.22402566887063094,-0.015472686656207449,-0.5199930570428494,0.3334472744967504,0.11159852488039401,0.28824922557198607,-0.08407278830288423,0.08919836680514887,0.2538224387080733,0.09342168516223506,-0.22548303427145044,-0.13135556160517428,0.2337573629655105,0.30642502755068735,12.0,4.0
69,-1.3872161432802645,0.1911714557285585,0.0,0.23603314711763596,-0.07109230975604734,0.0663259253620378,-1.5528419686577808,0.0,0.0,-0.8096683018297085,-1.0969100130080565,-0.9469215565165803,0.22788670461367352,1.6342051210793465,13.0,4.0
