,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,q,max_d
45,0.0,1.258,0.0,0.0,0.0,1.955,0.201,1.89,0.0,1.179,0.745,0.715,0.836,0.0,0.0,0.0,3.0
46,0.496,1.27,7.803,1.223,0.937,0.877,0.413,0.508,0.117,0.593,0.755,0.704,1.448,3.848,0.0,1.0,3.0
47,0.513,1.3,34.931,0.099,0.032,0.287,0.254,0.023,0.173,0.207,0.728,0.285,1.102,0.0,0.0,2.0,3.0
48,0.569,0.304,0.0,27.466,1.118,1.901,0.394,0.321,0.0,0.473,0.963,3.214,2.048,0.0,0.0,3.0,3.0
49,0.531,0.582,0.449,0.767,4.867,2.64,1.626,1.892,0.807,1.353,0.516,0.628,1.528,0.403,0.0,4.0,3.0
50,0.677,1.024,1.638,5.375,1.012,1.808,0.666,0.792,1.075,0.923,0.47,1.149,1.482,0.882,0.0,5.0,3.0
51,0.788,1.001,0.087,0.109,0.925,0.838,0.907,0.485,0.0,2.144,1.118,0.619,0.917,0.0,0.0,6.0,3.0
52,0.452,0.363,1.15,0.293,1.759,1.015,5.285,0.938,0.156,1.626,0.301,0.478,1.111,0.019,0.0,7.0,3.0
53,0.561,0.188,0.299,0.635,2.15,1.611,4.261,5.607,2.975,1.766,0.131,0.532,1.295,0.0,0.0,8.0,3.0
54,0.54,0.672,0.55,3.344,1.423,1.879,1.142,1.481,1.195,2.657,0.75,0.573,1.503,0.0,0.0,9.0,3.0
55,1.515,0.88,0.315,1.2,0.648,0.881,0.145,0.198,0.095,0.699,2.16,1.089,1.284,0.126,0.0,10.0,3.0
56,1.282,0.827,0.392,0.895,0.338,1.506,0.464,0.564,0.969,0.6,1.76,1.476,0.661,0.389,0.0,11.0,3.0
57,0.642,0.961,0.153,1.997,1.232,2.019,0.808,1.191,1.591,1.219,0.593,0.739,1.879,1.14,0.0,12.0,3.0
58,0.058,1.466,0.0,3.608,1.28,1.155,0.03,0.0,0.0,0.185,0.099,0.159,1.403,48.923,0.0,13.0,3.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0
60,0.231,1.437,0.0,0.0,0.259,1.499,0.05,1.701,0.0,1.31,0.711,0.255,0.696,0.0,0.0,0.0,4.0
61,0.506,1.28,6.605,0.993,0.835,0.891,0.487,0.596,0.082,0.613,0.723,0.743,1.333,3.663,0.0,1.0,4.0
62,0.598,1.242,32.809,0.099,0.079,0.407,0.303,0.094,0.239,0.259,0.818,0.345,1.056,0.0,0.0,2.0,4.0
63,0.397,0.284,0.161,25.871,1.087,1.744,0.437,0.265,0.0,0.673,1.072,3.046,2.129,0.0,0.0,3.0,4.0
64,0.537,0.595,0.369,0.933,3.514,2.578,1.655,1.922,0.901,1.356,0.559,0.758,1.633,0.489,0.0,4.0,4.0
65,0.658,0.979,1.875,4.421,1.038,1.811,0.797,0.966,0.89,0.949,0.503,1.182,1.45,0.925,0.0,5.0,4.0
66,1.041,0.94,0.087,0.501,1.066,0.613,0.842,0.383,0.084,2.352,1.298,0.627,0.801,0.0,0.0,6.0,4.0
67,0.483,0.411,1.267,0.304,1.825,1.092,4.704,0.989,0.18,1.718,0.377,0.515,1.164,0.041,0.0,7.0,4.0
68,0.594,0.223,0.34,0.791,2.287,1.686,3.932,4.813,3.461,1.939,0.172,0.561,1.345,0.0,0.0,8.0,4.0
69,0.522,0.659,0.671,2.566,1.333,1.861,1.252,1.615,1.58,2.621,0.756,0.619,1.376,0.024,0.0,9.0,4.0
70,1.58,0.852,0.406,1.555,0.734,0.945,0.163,0.245,0.169,0.759,2.13,1.078,1.246,0.119,0.0,10.0,4.0
71,1.286,0.805,0.484,0.864,0.315,1.536,0.491,0.554,0.759,0.688,1.731,1.516,0.639,0.562,0.0,11.0,4.0
72,0.597,0.965,0.302,2.155,1.293,1.942,0.824,1.228,1.794,1.24,0.595,0.739,1.713,2.025,0.0,12.0,4.0
73,0.041,1.553,0.0,1.722,0.849,1.165,0.028,0.0,0.0,0.155,0.08,0.113,1.69,43.073,0.0,13.0,4.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0
75,0.132,1.558,0.0,0.0,0.296,1.266,0.057,0.648,0.0,1.497,0.542,0.525,0.0,0.0,0.0,0.0,5.0
76,0.454,1.29,5.741,0.943,0.737,0.929,0.563,0.642,0.167,0.64,0.714,0.761,1.136,3.168,0.0,1.0,5.0
77,0.701,1.187,30.172,0.057,0.099,0.458,0.321,0.18,0.28,0.289,0.997,0.364,1.072,0.046,0.0,2.0,5.0
78,0.714,0.287,0.0,9.683,2.324,1.601,0.463,0.208,0.356,0.847,1.013,3.355,1.659,0.0,0.0,3.0,5.0
79,0.424,0.611,0.385,1.031,2.705,2.48,1.692,1.827,0.994,1.383,0.579,0.883,1.648,0.493,0.0,4.0,5.0
80,0.703,0.942,2.082,3.757,1.006,1.827,0.899,1.064,0.96,0.966,0.538,1.185,1.378,1.023,0.0,5.0,5.0
81,1.161,0.874,0.297,1.283,1.052,0.388,0.873,0.385,0.096,2.237,1.553,0.64,0.925,0.0,0.0,6.0,5.0
82,0.517,0.457,1.397,0.364,1.847,1.173,4.234,1.011,0.185,1.748,0.44,0.541,1.18,0.073,0.0,7.0,5.0
83,0.627,0.257,0.393,0.908,2.357,1.718,3.646,4.29,4.018,2.035,0.217,0.589,1.386,0.0,0.0,8.0,5.0
84,0.55,0.661,0.675,1.824,1.305,1.845,1.334,1.72,1.675,2.484,0.745,0.693,1.301,0.055,0.0,9.0,5.0
85,1.579,0.83,0.424,1.837,0.722,1.031,0.207,0.288,0.163,0.804,2.095,1.1,1.136,0.201,0.0,10.0,5.0
86,1.234,0.79,0.606,1.027,0.365,1.564,0.494,0.522,0.766,0.745,1.726,1.529,0.653,0.462,0.0,11.0,5.0
87,0.537,0.985,0.42,2.38,1.474,1.802,0.862,1.312,1.588,1.251,0.588,0.711,1.529,2.348,0.0,12.0,5.0
88,0.033,1.569,0.0,0.984,0.791,1.249,0.026,0.0,0.0,0.147,0.096,0.164,1.491,41.098,0.0,13.0,5.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0
90,0.0,1.527,0.0,0.0,0.207,0.782,0.08,1.209,0.0,1.52,0.678,0.735,0.0,0.0,0.0,0.0,6.0
91,0.418,1.275,5.376,0.882,0.7,0.927,0.623,0.612,0.219,0.666,0.702,0.775,1.275,3.252,0.0,1.0,6.0
92,0.81,1.139,27.88,0.201,0.221,0.566,0.339,0.223,0.312,0.306,1.085,0.415,1.047,0.321,0.0,2.0,6.0
93,0.918,0.252,0.0,17.636,3.162,1.832,0.522,0.278,0.498,0.683,0.905,3.463,1.784,0.0,0.0,3.0,6.0
94,0.503,0.637,0.449,0.978,2.281,2.518,1.716,1.795,0.969,1.299,0.57,0.837,1.615,0.944,0.0,4.0,6.0
95,0.758,0.917,2.147,3.59,1.008,1.843,0.973,1.098,0.975,1.005,0.573,1.125,1.326,1.102,0.0,5.0,6.0
96,1.386,0.862,0.0,1.75,0.854,0.341,1.012,0.31,0.0,2.003,1.555,0.704,0.986,0.0,0.0,6.0,6.0
97,0.54,0.492,1.526,0.418,1.864,1.202,3.916,0.94,0.157,1.731,0.505,0.569,1.202,0.12,0.0,7.0,6.0
98,0.657,0.286,0.412,0.994,2.355,1.741,3.409,4.02,3.982,2.098,0.252,0.613,1.412,0.0,0.0,8.0,6.0
99,0.533,0.68,0.612,1.168,1.346,1.815,1.411,1.747,1.709,2.342,0.728,0.732,1.262,0.072,0.0,9.0,6.0
100,1.532,0.811,0.468,1.719,0.755,1.082,0.263,0.342,0.168,0.826,2.072,1.096,1.169,0.417,0.0,10.0,6.0
101,1.187,0.78,0.568,1.154,0.373,1.585,0.508,0.492,0.62,0.747,1.743,1.537,0.662,0.647,0.0,11.0,6.0
102,0.584,0.989,0.421,1.998,1.407,1.669,0.883,1.323,1.809,1.231,0.588,0.753,1.513,3.255,0.0,12.0,6.0
103,0.009,1.604,0.0,0.886,1.118,1.21,0.02,0.0,0.0,0.098,0.101,0.179,1.386,37.809,0.0,13.0,6.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0
105,0.185,1.502,0.0,0.0,0.207,0.678,0.0,0.756,0.0,1.572,0.813,0.735,0.223,0.0,0.0,0.0,7.0
106,0.427,1.282,5.27,0.702,0.666,0.931,0.637,0.582,0.264,0.686,0.711,0.774,1.147,3.139,0.0,1.0,7.0
107,0.858,1.111,24.452,0.165,0.253,0.607,0.396,0.231,0.589,0.4,1.201,0.45,0.936,0.418,0.0,2.0,7.0
108,0.906,0.277,0.0,16.199,3.094,1.803,0.514,0.577,0.623,0.598,0.878,3.418,2.027,0.0,0.0,3.0,7.0
109,0.542,0.672,0.603,0.767,1.906,2.486,1.727,1.722,1.049,1.287,0.577,0.756,1.62,0.852,0.0,4.0,7.0
110,0.808,0.897,2.144,3.389,1.041,1.837,1.022,1.124,0.998,1.054,0.607,1.074,1.289,1.152,0.0,5.0,7.0
111,1.431,0.834,0.0,1.991,0.911,0.452,1.139,0.329,0.0,1.902,1.569,0.661,0.91,0.0,0.0,6.0,7.0
112,0.552,0.524,1.525,0.43,1.861,1.226,3.645,0.931,0.139,1.704,0.568,0.587,1.216,0.143,0.0,7.0,7.0
113,0.684,0.312,0.425,1.049,2.356,1.749,3.192,3.841,4.069,2.125,0.292,0.644,1.413,0.0,0.0,8.0,7.0
114,0.531,0.687,0.656,0.907,1.372,1.794,1.459,1.773,1.571,2.257,0.708,0.766,1.276,0.072,0.0,9.0,7.0
115,1.536,0.8,0.544,1.97,0.766,1.109,0.318,0.378,0.222,0.85,2.03,1.09,1.106,0.778,0.0,10.0,7.0
116,1.182,0.769,0.704,1.108,0.492,1.525,0.534,0.489,0.769,0.736,1.753,1.568,0.689,0.629,0.0,11.0,7.0
117,0.586,1.007,0.436,2.337,1.391,1.603,0.906,1.288,1.755,1.219,0.58,0.743,1.448,3.664,0.0,12.0,7.0
118,0.0,1.63,0.148,0.918,1.107,1.234,0.022,0.0,0.0,0.132,0.082,0.148,1.206,36.373,0.0,13.0,7.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0
